content,label
送我匆匆行色，赖君衮衮名章。德星今夜聚清湘。岂羡瀛洲方丈。宾醉须教主醉，更长不怕杯长。凤鸣端合在朝阳。飞诏来从天上。,送别题赠
西风一叶送行舟。浅迟留。舣汀洲。新浴红衣，绿水带香流。应是离宫城外晚，人伫立，小帘钩。新归重省别来愁。黛眉头。半痕秋。天上人间，斜月绣针楼。湘浪莫迷花蝶梦，江上约，负轻鸥。,送别题赠
咳唾琼珠璀，精神冰玉寒。不求名利不谈玄。明月清风相对、自怡然。潇洒真仙隐，繁华小洞天。薰风飒飒度虞弦。更拥姬姜何惜、醉华年。,人生感怀
正月到盘洲，解冻东风至。便有浴鸥飞，时见潜鳞起。高柳送青来，春在长林里。绿萼一枝梅，端是花中瑞。,写景抒情
岁寒相命，算人间、除了梅花无物。窥宋三年又不是，草草东邻凿壁。偃蹇风前，沉吟竹外，直待天骄雪。白家人至，一枝横出终杰。寂寞小小疏篱，探花使断，知复何时发。北驿不来春又远，只向窗前埋灭。好在冰花，著些风筱，怎不清余发。补之去後，墨梅又有明月。,写景抒情
小小盈盈珠翠。忆得眉长眼细。曾共映花低语，已解伤春情意。重向溪堂，临风看舞梁州，依旧照人秋水。转更添姿媚。舆问阶上，簸钱时节，记微笑，但把纤腰，向人娇倚。不见还休，谁教见了厌厌，还是向来情味。,思妇闺怨
晚来侧侧清寒，冻云万里回飞鸟。故园梦断，单于吹罢，房栊易晓。西帝神游，万妃缟袂，相看一笑。泛扁舟乘兴，蹇驴觅句，山阴曲、霸陵道。舞态随风窈窕。任穿帘，儿童休扫。洛阳高卧，萧条门巷，悄无人到。供断诗愁，夜窗还共，陈编相照。念寒梅映水，匀妆弄粉，与谁争好。,羁旅思乡
翠竹谩连云，天风不到。帘幕重重自热恼。冷香忽至，爱惜当同芝草。井花浮碧玉，炎威扫。酒渴想东邻，忧心如捣。纳履生疑谩悔懊。未容沈李，相对尊前倾倒。报君惟短句，琼琚好。,思妇闺怨
倦客如今老矣，旧时不奈春何。几曾湖上不经过。看花南陌醉，驻马翠楼歌。远眼愁随芳草，湘裙忆著春罗。枉教装得旧时多。向来箫鼓地，犹见柳婆姿。,羁旅思乡
竹马同游，平生志、相期霄壑。今老矣，儒冠宁误，戎妆徒著。卷起鲸鲵江海事，放教禽鸟山林乐。问尚堪、舞剑渡河无，公应莫。粟可饭，衣从恶。秫可酒，茶胜薄。但此身长健，老天不错。竹院昼闲参内景，蒲团夜坐披圆觉。愿此生、无愧北山猿，西湖鹤。,人生感怀
傅粉何郎，比玉树、琼枝谩夸。看生子、东涂西抹，笑语浮华。蝴蝶一生花里活，似花还却似非花。最可人、娇艳正芳年，如破瓜。离别恨，生叹嗟。欢情事，起喧哗。听歌喉清润，片玉无瑕。洗尽人间笙笛耳，赏音多向五侯家。好思量、都在步莲中，裙翠遮。,送别题赠
江左惟公，争些子、吾其衽发。谈笑里、旄头泛扫，斗杓旋斡。投一粒丹元气转，下三数著输棋活。把晋朝王谢传同看，谁优劣。飞凯奏，清夔峡。蠲和籴，宽畿浙。有三千功行，待从头说。玉满斟长寿酒，冰轮探借中秋月。更慈帏、喜见凤将雏，添丹穴。,咏史怀古
雨点春山入翠眉。一ь杨柳作腰肢。语音娇软带儿痴。犹省当来求识面，隔帘清唱倒琼彝。真成相见说当时。,写景抒情
去岁玉堂山下住，母旁後弟前哥。今年作县古松坡。静参朱祭酒，间印马头陀。去路更无山隔断，春风跋马经过。不妨缓辔尽婆娑。愿申临别语，长使得天多。,送别题赠
中年怕踏长亭路。便自有、离愁苦。一自送君趋幕府。惺莺舌，呢喃燕觜，那解春无语。三年山月移朝暮。独倚松风等闲度。到得除书萦绊住。却愁不似，当时皓月，长伴君来去。,送别题赠
坐久灯花开尽，暗惊风叶，初报霜寒。冉冉年华催暮，颜色非丹。搅回肠、蛩吟似织，留恨意、月彩如摊。惨无欢。篆烟萦素，空转雕盘。何难。别来几日，信沈鱼鸟，情满关山。耳边依约，常记巧语绵蛮。聚愁窠、蜂房未密，倾泪眼、海水犹悭。奄更阑。渐移银汉，低泛帘颜。,送别题赠
寒食无情，阳春如客。晚风吹尽繁枝。落红堆径，小槛立移时。乐事不堪再省，吴乡远、愁思依依。谁家燕，斜穿绣幕，轻惹画梁泥。还知。人寂寞，殷勤软语，来说差池。怕王孙归去，芳草离离。倚翠屏山梦断，无心听、啼鸟催归。何时向，溪流练带，一舸载鸱夷。,送别题赠
归心正似三春草。拭著莱衣小。橘怀几日向翁开。怀祖已文度、不归来。禅心已断人间爱。只有平交在。笑论瓜葛一枰同。看取灵光新赋、有家风。,思妇闺怨
声名自昔犹时鸟，日月何尝避覆盆。是非都付鬓边蚊。邂逅风雷终有用，低回囊槛要深蹲。酒中聊复比乾坤。,人生感怀
池草抽新碧，山桃褪小红。寻春闲过小园东。春在乱花深处、鸟声中。游镫归敲月，春衫醉舞风。谁家三弄学元戎。吹起闲愁，容易上眉峰。,写景抒情
小雨翻花落画檐。栏堂香注酒重添。花枝能语出朱帘。缓步金莲移小小，持杯玉笋露纤纤。此时谁不醉厌厌。,写景抒情
天接沧浪。晴虹垂饮，千步修梁。万顷玻璃，洞庭之外，纯浸斜阳。西风劝我持觞。况高栋、层轩自凉。饮罢不知，此身归处，独咏苍茫。,写景抒情
青梅煮酒斗时新。天气欲残春。东城南陌花下，逢著意中人。回绣袂，展香茵。叙情亲。此情拼作，千尺游丝，惹住朝云。,送别题赠
柳暗重门，花深小院。盆池昨夜新荷卷。银床斜倚小屏风，吴波澄淡春山远。纨扇风轻，薰炉烟断。日高睡起眉山浅。尘侵鸾镜懒匀妆，谁人与整钗头燕。,思妇闺怨
云母屏低，流苏帐小。矮床薄被秋将晓。乍凉天气未寒时，平明窗外闻啼鸟。困榴花，香添蕙草。佳期须及朱颜好。莫言多病为多情，此身甘向情中老。,思妇闺怨
重帘小阁香云暖。黛拂梳妆浅。玉箫一曲杜韦娘。谁是苏州刺史、断人肠。醉归旋拨红炉火。却倚屏山坐。银缸明灭月横斜。还是画楼角送、小梅花。,思妇闺怨
红旗高举。飞出深深杨柳渚。鼓击春雷。直破烟波远远回。欢声震地。惊退万人争战气。金碧楼西。衔得锦标第一归。,咏史怀古
占得春风五日先。至今住处是开元。写真若遇丹元子，只著当时宫锦船。松戴雪，自苍然。八公花下少如前。看来天上多辛苦，且住人间五百年。,咏史怀古
春事忆松江，江上花无数。一枕匆匆醉梦中，芳草庵路。携手度虹梁，洗眼看渔具。盐豆莼羹是处无，早买扁舟去。,写景抒情
瑞霭秋空，银河里、非烟非雾。应想是、岳锺神秀，再生尹傅。昨夜五云随梦入，今朝万象朝元去。正六星、炳炳耀文昌，循初度。五马贵，多文富。人品异，心朝古。似冰清瑶水，玉森元圃。天子方将循异政，灵孙又合为霖雨。问汾阳、几考在中书，从今数。,咏史怀古
淡黄衫子浓妆了。步缕金鞋小。爱来书幌绿窗前，半和娇笑。谢家姊妹，诗名空杳。何曾机巧。争如奴道，春来情思，乱如芳草。,思妇闺怨
喜秋回霁宇，倩凉露、洗炎飙。被鹊误仙盟，经年恨阻，银汉迢迢。牛闲更停弄杼，趁佳期、华幄傍星桥。授玉鸾骞雾霭，赠绡龙戏花娇。欢娱回首是明朝。未别已魂销。想翠轭珠轮，归途望断，斗转斜勺。人间易离易遇，尽胜如、天上各云霄。携去一梳水月，巧楼犹醉笙箫。,送别题赠
有庞眉、扶杖岘山来，举觞寿南山。道天怜赤子，相逢钧播，久望毡还。幸际君王神武，上宰是甘盘。少运风霆手，整顿何难。好个霜天时候，听雁门新雁，眺远凭阑。想经纶心上，一点炳如丹。抚舆图、真儒事了，把勋庸、留在鼎彝看。八千岁，四明洞府，一佛人间。,咏史怀古
恰则春来春又去。凭谁说与春教住。与问坐中人。几回迎送春。明年春更好。只怕人先老。春去有来时。愿春长见伊。,送别题赠
远树昏鸦闹，衰芦睡鸭双。雪篷烟棹炯寒光。疑是风林纤月、到船窗。时序惊心破，江山引梦长。思量也待不思量。泪染罗巾犹带、旧时香。,写景抒情
翦翠衫儿稳四停。最怜一曲凤箫吟。同心罗帕轻藏素，合字香囊半影金。春思悄，昼窗深。谁能拘束少年心。莺来惊碎风流胆，踏动樱桃叶底铃。,写景抒情
风韵雍容未甚都。尊前甘橘可为奴。谁怜流落江湖上，玉骨冰肌未肯枯。谁教并蒂连枝摘，醉後明皇倚太真。居士擘开真有意，要吟风味两家新。,咏史怀古
长江千里。限南北、雪浪云涛无际。天险难逾，人谋克壮，索虏岂能吞噬。阿坚百万南牧，倏忽长驱吾地。破强敌，在谢公处画，从容颐指。奇伟。淝水上，八千戈甲，结阵当蛇豕。鞭弭周旋，旌旗麾动，坐却北军风靡。夜闻数声鸣鹤，尽道王师将至。延晋祚，庇民，周雅何曾专美。,咏史怀古
放船杨柳下，听鸣蝉、薰风小新堤。正烟露蓼，飞尘酿玉，第五桥西。遥认青罗盖底，宫女夜游池。谁在鸳鸯浦，独棹玻璃。一片天机云锦，见凌波碧翠，照日胭脂。是西湖西子，晴抹雨妆时。便相将无情秋思，向菰蒲深处落红衣。醺醺里，半篙香梦，月转星移。,写景抒情
城隅静女谁人见。先生日夜歌彤管。谁识蔡姬贤。江南顾彦先。先生那久困。汤沐须名郡。惟有谢夫人。从来见拟伦。,咏史怀古
兰棹举。相趁落红飞去。一隙轻帘凝睇处。柳丝牵不住。昨日翠蛾金缕。今夜碧波烟渚。好梦无凭窗又雨。天涯知几许。,送别题赠
双鬟绿发齐，多笑蔫红落。穿竹过西斋，问字时偷学。娇慵不惯羞，同倚阑干角。屈指数元宵，灯火堪行乐。,写景抒情
忆自别郎时，数到郎归日。及至郎归郎又行，泪脸香红湿。残梦怕寻思，绣慵收拾。夏簟青青白昼长，背倚阑干立。,思妇闺怨
尊前宾主角多才。亦许我同来。诗思竞翻三峡，酒狂欲拗连台。身闲有限，莫辞光景，刻烛相催。沙路即看联辔，上林趁赏流杯。,羁旅思乡
是非场，名利海，得丧炎凉徒自苦。至乐陶陶，唯有醉乡，谁向此间知趣。花下一杯一杯，且莫把、光阴虚度。八极神游长寿仙，蜾蠃螟休更觑。,人生感怀
花院深疑无路通。碧纱窗影下，玉芙蓉。当时偏恨五更钟。分携处，斜月小帘栊。楚梦冷沈踪。一双金缕枕，半床空。画桥临水凤城东。楼前柳，憔悴几秋风。,思妇闺怨
暖入新梢风又起。秋千外、雾萦丝细。鸠侣寒轻，燕泥香重，人在杏花窗里。十二银屏山四倚。春醪困、共篝沈水。却说当时，柳啼花怨，魂梦为君迢递。,思妇闺怨
日暖烟轻，竹梢映、花阴凌乱。微风皱、池光青碧，绿杨垂岸。艳杏墙头红粉媚，幽兰砌下飘香暖。称邀宾、明日去寻芳，频欢宴。光景速，浑如箭。醉梦里，春强半。且花前莫厌，玉杯频劝。一枕游仙方警悟，浮名自笑犹萦绊。醉挥毫、付与雪儿歌，娇莺啭。,写景抒情
归来一笑，尚看看趁得，人间寒食。阿寿牵衣仍问我，双鬓新来添白。忍见庭前，去年芳草，依旧青青色。西湖雨後，绿波两岸平拍。天教断送流年，三之一矣，又是成疏隔。燕子春寒浑未到，谁说江南消息。玉树熏香，冰桃翻浪，好个山间景物。这回归去，松风深处横笛。,送别题赠
凭陵残醉步花间。风棹佩珊珊。踏青解红人散，不耐日长闲。纤手指，小金环。拥云鬟。一声水调，两点春愁，先占眉山。,写景抒情
盘马楼前风日好。雪销尘扫。楼上宫妆早。认帘箔微开，一面嫣妍笑。携手别院重廊，窈窕花房小。任碧罗窗晓。间阔时多书问少。镜鸾空老。身寄吴云杳。想辘车音，几度青门道。占得春色年年，随处随人到。恨不如芳草。,送别题赠
楼上萦帘弱絮，墙头凝月低花。年年春事关心事，肠断欲栖鸦。舞镜鸾衾翠减，啼珠凤蜡红斜。重门不锁相思梦，随意绕天涯。,思妇闺怨
歌声凄怨。是几度诉春，春都不管。感绿惊红，颦烟啼月，长是为春消黯。玉骨瘦无一把，粉泪愁多千点。可怜损，任尘侵粉蠹，舞裙歌扇。转盼。尘梦断。峡里云归，空想春风面。燕子楼空，玉台妆冷，湖外翠峰眉浅。绮陌断魂名在，宝箧返魂香远。此情苦，问落花流水，何时重见。,思妇闺怨
秋江际天阔，风雨凄其。云阴未放晴晖。归鸦乱叶更萧索，砧声几处寒衣。沙头酒初熟，尽篱边朱槿，竹外青旗。潮期尚晚，怕轻离、故故迟迟。何以醉中先别，容易为分襟，独抱琴归。回首征帆缥缈，津亭寂寞，衰草烟迷。虹收霁色，渐落霞孤鹜飞齐。更何时，重与论文渭北，翦烛窗西。,送别题赠
常时黄色见眉间。松桂我同攀。每言天上辛苦，不肯饵金丹。怜水静，爱云闲。便忘还。高歌一曲，岩谷迤逦，宛似商山。,写景抒情
杨柳阴中驻彩旌。芰荷香里劝金觥。小词流入管弦声。只有醉饮宽别恨，不须朝暮促归程。雨条烟叶系人情。,送别题赠
窗纱薄。日穿红幔催梳掠。催梳掠。新晴天气，画檐闻鹊。海棠逗晓都开却。小云先在阑干角。阑干角。杨花满地，夜来风恶。,写景抒情
碧山影里小红旗。侬是江南踏浪儿。拍手欲嘲山简醉，齐声争唱浪婆词。西兴渡口帆初落，渔浦山头日未。侬欲送潮歌底曲，尊前还唱使君诗。,送别题赠
抽还手版，受用处、十分轻省。便衣翦家机，饭炊躬稼，且免支移系省。帝悯龙锺蠲朝谒，予长假、毋烦申省。笑木石虚斋，暮年做，端明提省。闲冷。橐金散尽，书筒来省。有小小楼儿，看山待月，绝胜崔公望省。两鹤随轩，一奴负锸，此外诸馀从省。把一身本末，绿章奏过，泰玄都省。,人生感怀
淡荡素商行暮，远空雨歇，平野烟收。满目江山，堪助楚客冥搜。素光动、云涛涨晚，紫翠冷、霜横秋。景清幽。渚兰香谢，汀树红愁。良俦。西风吹帽，东篱携酒，共结欢游。浅酌低吟，坐中俱是饮家流。对残晖、登临休叹，赏令节、酩酊方酬。且相留。眼前尤物，盏里忘忧。,写景抒情
芳丛簇簇水滨生。勾引午风清。六花大似天边雪，又几时、雪有三层。明艳射回蜂翅，净香熏透蝉声。晚檐人共月同行。疏影动银屏。指尖轻拈都如玉，听画栏、高啭流莺。道是花枝比得，不成花也多情。,写景抒情
梯横画阁。碧栏干外江风恶。笑声欢意浮杯酌。秋水春山，相对称行乐。谁家青鸟穿帘幕。暗传空有阳台约。天公著意称停著。寒色人情，都恁两清薄。,写景抒情
世事浑无定。问人间、翻来覆去，阿谁能忍。海怒惊涛山相拍，选甚鱼龙不任。看今古、英雄销尽。坐对青山闲白日，付长江、流送千年恨。天有意，唯何甚。待将洗耳泉边枕。正梅花、霜寒月白，斗回西柄。自寿一觞花前醉，醉彩幡金胜。笑儿辈、汾阳中令。倚遍层楼干阑曲，慨乾坤、渺渺青云影。无限事，尊前兴。,人生感怀
指剥春葱去采苹。衣丝秋藕不沾尘。眼波明处偏宜笑，眉黛愁来也解颦。巫峡路，忆行云。几番曾梦曲江春。相逢细把银照，犹恐今宵梦似真。,送别题赠
楚宫闲，金成屋，玉为阑。断云梦、容易惊残。骊歌几叠，至今愁思怯阳关。清音恨阻，抱哀筝、知为谁弹。年华晚，月华冷，霜华重，鬓华斑。也须念、闲损雕鞍。斜缄小字，锦江三十六鳞寒。此情天阔，正梅信、笛里关山。,思妇闺怨
舞红轻带愁飞，宝鞯暗忆章台路。吟香醉雨，吹箫门巷，飘梭院宇。立尽残阳，眼迷睛树，梦随风絮。叹江潭冷落，依依旧恨，人空老、柳如许。锦瑟华年暗度。赋行云、空题短句。情思系燕，么弦弹凤，文君更苦。烟水流红，暮山凝紫，是春归处。怅江南望远，苹花自采，寄将愁与。,思妇闺怨
作意如何和好歌。细翻重看得长哦。晓梧吹雨露明荷。老我从他琴下爨，故人元自笛亭柯。北山烟岫郁嵯峨。,写景抒情
潋滟长波迎首。雨淡烟轻，过了清明候。岸草汀花浑似旧。行人只是添清瘦。沈水香消罗袂透。双橹声中，午梦初惊後。枕上懵腾犹病酒。卷帘数尽长堤柳。,写景抒情
斗酒彘肩，风雨渡江，岂不快哉。被香山居士，约林和靖，与东坡老，驾勒吾回。坡谓西湖，正如西子，浓抹淡妆临镜台。二公者，皆掉头不顾，只管衔杯。白云天竺飞来。图画里、峥嵘楼观开。爱东西双涧，纵横水绕，两峰南北，高下云堆。逋曰不然，暗香浮动，争似孤山先探梅。须晴去，访稼轩未晚，且此俳徊。,咏史怀古
为向东坡传语。人在玉堂深处。别後有谁来，雪压小桥无路。归去。归去。江上一犁春雨。,送别题赠
秋夜静。屋上狂风初定。两两啼蛄相答应。灯蛾摇烛影。枕上鸡声遥听。起舞良宵偏永。明日谩寻弓剑整。衰颜重揽镜。,写景抒情
秋千散後朦胧月，满院人闲。几处雕阑。一夜风吹杏粉残。昭阳殿里春衣就，金缕初乾。莫信朝寒。明日花前试舞看。,写景抒情
便晴也是不曾晴。不怕金吾禁行。风雨动乡情。梦灯火、扬州化城。少年跌宕，谁家娇小，绕带到天明。昨夜月还生。但惊破、霓裳数声。,羁旅思乡
玄霜凉夜铸瑶丹。飘落翠藤间。西风万颗，明珠巧缀，零露初。诗人那识风流品，马乳漫堆盘。玉纤旋摘，银罂分酿，莫负清欢。,写景抒情
壶天冰雪，消尽虚堂暑。多谢故人风，送花香传小树。香风初过，一曲断肠声，如怨诉。诉闲愁，落落琵琶语。江边马上，弹指成千古。泪眼与啼妆，叹风流、只今何处。芳心役损，触事起悲酸，招玉素。拨檀槽，整理金衣缕。,送别题赠
日暖帘帏春画长。纤纤玉指动抨床。低头佯不顾檀郎。豆蔻枝头双蛱蝶，芙蓉花下两鸳鸯。壁间闻得唾茸香。,思妇闺怨
蝉咽凉柯，燕飞尘幕，漏阁签声时度。倦脱纶巾，困便湘竹，桐阴半侵朱户。向抱影凝情处。时闻打窗雨。耿无语。叹文圆、近来多病，情绪懒，尊酒易成间阻。缥缈玉京人，想依然、京兆眉妩。翠幕深中，对徽容、空在纨素。待花前月下，见了不教归去。,思妇闺怨
宇宙原无外。问当年、渠缘底事，强逃人世。争似刘郎栽种後，长恁玄都观里。何用羡、武陵溪水。一见桃花还一笑，领春工、千古无穷意。儿女恨，且收起。洞中空阔多闲地。但人间、羊肠九折，未能知此。我已衰翁君渐老，那复颠张醉李。看翻覆、雨阴风霁。捱得清和时候了，舣扁舟、只待归来耳。惟处静，解吾志。,人生感怀
飞梦去，闲到玉京游。尘隔天高那得暑，月明云薄淡於秋。宫殿锁金虬。冰佩冷，风扬紫绡裘。五色光中瞻帝所，方知碧落胜炎洲。香雾湿帘钩。,写景抒情
任在芦花最深处。浪静风恬，又泛轻舟去。去到滩头遇俦侣。散唱狂歌鱼未取。不把身心干时务。一副轮竿，莫笑闲家具。待拟观光佐明主。将甚医他民病苦。,羁旅思乡
莺莺燕燕。本是于飞伴。风月佳时阻幽愿。但人心坚固後，天也怜人，相逢处、依旧桃花人面。绿窗携手，帘幕重重，烛影摇红夜将半。对尊前如梦，欲语魂惊，语未竟、已觉衣襟泪满。我只为、相思特特来，这度更休推，後回相见。,思妇闺怨
天与疏慵，人怜憔悴，分甘抛弃簪缨。有时乘兴，波上叶舟轻。十里横塘过雨，荷香细、苹末风清。真如画，残霞淡日，偏向柳梢明。凝情。尘网外，鲈鱼旋。芳酒深倾。又算来、何须身後浮名。无限沧浪好景，蓑笠下、且遣馀生。长歌去，机心尽矣，鸥鹭莫相惊。,写景抒情
灯前忍见啼红面。别酒频斟劝。愁蛾敛翠不胜情。报道看看天色、待平明。殷勤重把阳关唱。休要教人望。出门犹自尚叮咛。厮养频催恰好、趁凉行。,送别题赠
梅谢了。塞垣冻解鸿归早。鸿归早。凭伊问讯，大梁遗老。浙河西面边声悄。淮河北去炊烟少。炊烟少。宣和宫殿，冷烟衰草。,送别题赠
晓色凝暾，霜痕犹浅，九天春意将回。隔年花信，先已到江梅。沈水烟浓如雾，金波满、红袖双垂。仙翁醉，问春何处，春在玉东西。瑶台。人不老，还从东壁，来步天墀。且细看八砖，花影迟迟。会见朱颜绿鬓，家长近、咫尺天威。君知否，天教雨露，常满岁寒枝。,写景抒情
不怕石头行路滑。归来那爱驹儿踏。言下百骸俱拨撒。无剩法。灵然昼夜光通达。古寺天寒还恶发。夜将木佛齐烧杀。炙背横眠真快活。憨抹挞。从教院主无须发。,咏史怀古
年年有个人生日，谁似君家。谁似君家。八十慈亲发未华。棠阴阁上棠阴满，满劝流霞。满劝流霞。来岁应添宰路沙。,送别题赠
玉为楼观银为地。秋到中分际。淡金光衬水晶球，上碧虚、千万里。香风浩荡吹蟾桂。影落澄波底。揭天箫鼓要诗成，任惊觉、鱼龙睡。,写景抒情
搔首倚薰风。一幅画图尘土中。鹤怨猿惊人去也，潜龙。谁绞香车起蛰松。岁月去熙丰。世味人情自淡浓。春去春来墩不竞，匆匆。蜀水吴山血又红。,写景抒情
凉挂晓云轻，声度西风小。井上梧桐应未知，一叶云鬟袅。来雁带书迟，别燕归程早。频探秋香开未开，恰似春来了。,送别题赠
