"Dose" "Status"
"1.7842" "Survived"
"1.8113" "Died"
"1.8113" "Died"
"1.8113" "Died"
"1.8113" "Died"
"1.8113" "Died"
"1.8113" "Died"
"1.8113" "Died"
"1.8113" "Died"
"1.8113" "Died"
"1.8113" "Died"
"1.8113" "Died"
"1.8113" "Died"
"1.8113" "Died"
"1.8113" "Died"
"1.8113" "Died"
"1.8113" "Died"
"1.8113" "Died"
"1.8113" "Died"
"1.8113" "Died"
"1.8113" "Died"
"1.8113" "Died"
"1.8113" "Died"
"1.8113" "Died"
"1.8113" "Died"
"1.8113" "Died"
"1.8113" "Died"
"1.8113" "Died"
"1.8113" "Died"
"1.8113" "Died"
"1.8113" "Died"
"1.8113" "Died"
"1.8113" "Died"
"1.8113" "Died"
"1.8113" "Died"
"1.8113" "Died"
"1.8113" "Died"
"1.8113" "Died"
"1.8113" "Died"
"1.8113" "Died"
"1.8113" "Died"
"1.8113" "Died"
"1.8113" "Died"
"1.8113" "Died"
"1.8113" "Died"
"1.8113" "Died"
"1.8113" "Died"
"1.8113" "Died"
"1.8113" "Died"
"1.8113" "Died"
"1.8113" "Died"
"1.8113" "Died"
"1.8113" "Died"
"1.8113" "Survived"
"1.8113" "Survived"
"1.8113" "Survived"
"1.8113" "Survived"
"1.8113" "Survived"
"1.8113" "Survived"
"1.8113" "Survived"
"1.8113" "Survived"
"1.8113" "Survived"
"1.8113" "Survived"
"1.8113" "Survived"
"1.8369" "Died"
"1.8369" "Died"
"1.8369" "Died"
"1.8369" "Died"
"1.8369" "Died"
"1.8369" "Died"
"1.8369" "Died"
"1.8369" "Died"
"1.8369" "Died"
"1.8369" "Died"
"1.8369" "Died"
"1.8369" "Died"
"1.8369" "Died"
"1.8369" "Died"
"1.8369" "Died"
"1.8369" "Died"
"1.8369" "Died"
"1.8369" "Died"
"1.8369" "Died"
"1.8369" "Died"
"1.8369" "Died"
"1.8369" "Died"
"1.8369" "Died"
"1.8369" "Died"
"1.8369" "Died"
"1.8369" "Died"
"1.8369" "Died"
"1.8369" "Died"
"1.8369" "Died"
"1.8369" "Died"
"1.8369" "Died"
"1.8369" "Died"
"1.8369" "Died"
"1.8369" "Died"
"1.8369" "Died"
"1.8369" "Died"
"1.8369" "Died"
"1.8369" "Died"
"1.8369" "Died"
"1.8369" "Died"
"1.8369" "Died"
"1.8369" "Died"
"1.8369" "Died"
"1.8369" "Died"
"1.8369" "Died"
"1.8369" "Died"
"1.8369" "Died"
"1.8369" "Died"
"1.8369" "Died"
"1.8369" "Died"
"1.8369" "Died"
"1.8369" "Died"
"1.8369" "Died"
"1.8369" "Survived"
"1.8369" "Survived"
"1.8369" "Survived"
"1.8369" "Survived"
"1.8369" "Survived"
"1.8369" "Survived"
"1.861" "Died"
"1.861" "Died"
"1.861" "Died"
"1.861" "Died"
"1.861" "Died"
"1.861" "Died"
"1.861" "Died"
"1.861" "Died"
"1.861" "Died"
"1.861" "Died"
"1.861" "Died"
"1.861" "Died"
"1.861" "Died"
"1.861" "Died"
"1.861" "Died"
"1.861" "Died"
"1.861" "Died"
"1.861" "Died"
"1.861" "Died"
"1.861" "Died"
"1.861" "Died"
"1.861" "Died"
"1.861" "Died"
"1.861" "Died"
"1.861" "Died"
"1.861" "Died"
"1.861" "Died"
"1.861" "Died"
"1.861" "Died"
"1.861" "Died"
"1.861" "Died"
"1.861" "Died"
"1.861" "Died"
"1.861" "Died"
"1.861" "Died"
"1.861" "Died"
"1.861" "Died"
"1.861" "Died"
"1.861" "Died"
"1.861" "Died"
"1.861" "Died"
"1.861" "Died"
"1.861" "Died"
"1.861" "Died"
"1.861" "Died"
"1.861" "Died"
"1.861" "Died"
"1.861" "Died"
"1.861" "Died"
"1.861" "Died"
"1.861" "Died"
"1.861" "Died"
"1.861" "Died"
"1.861" "Died"
"1.861" "Died"
"1.861" "Died"
"1.861" "Died"
"1.861" "Died"
"1.861" "Died"
"1.861" "Died"
"1.861" "Died"
"1.861" "Survived"
"1.8839" "Died"
"1.8839" "Died"
"1.8839" "Died"
"1.8839" "Died"
"1.8839" "Died"
"1.8839" "Died"
"1.8839" "Died"
"1.8839" "Died"
"1.8839" "Died"
"1.8839" "Died"
"1.8839" "Died"
"1.8839" "Died"
"1.8839" "Died"
"1.8839" "Died"
"1.8839" "Died"
"1.8839" "Died"
"1.8839" "Died"
"1.8839" "Died"
"1.8839" "Died"
"1.8839" "Died"
"1.8839" "Died"
"1.8839" "Died"
"1.8839" "Died"
"1.8839" "Died"
"1.8839" "Died"
"1.8839" "Died"
"1.8839" "Died"
"1.8839" "Died"
"1.8839" "Died"
"1.8839" "Died"
"1.8839" "Died"
"1.8839" "Died"
"1.8839" "Died"
"1.8839" "Died"
"1.8839" "Died"
"1.8839" "Died"
"1.8839" "Died"
"1.8839" "Died"
"1.8839" "Died"
"1.8839" "Died"
"1.8839" "Died"
"1.8839" "Died"
"1.8839" "Died"
"1.8839" "Died"
"1.8839" "Died"
"1.8839" "Died"
"1.8839" "Died"
"1.8839" "Died"
"1.8839" "Died"
"1.8839" "Died"
"1.8839" "Died"
"1.8839" "Died"
"1.8839" "Died"
"1.8839" "Died"
"1.8839" "Died"
"1.8839" "Died"
"1.8839" "Died"
"1.8839" "Died"
"1.8839" "Died"
"1.8839" "Died"
