Month,TotalC,Cost
2002 Feb,9053485.36,9.05348536
2002 Mar,10002448.79,10.002448789999999
2002 Apr,10788750.07,10.78875007
2002 May,12106705.15,12.10670515
2002 Jun,10954101.07,10.95410107
2002 Jul,12844565.87,12.844565869999998
2002 Aug,12196499.85,12.19649985
2002 Sep,12854747.87,12.854747869999999
2002 Oct,13542004.36,13.54200436
2002 Nov,13287640,13.28764
2002 Dec,15134917.84,15.13491784
2003 Jan,16828349.68,16.82834968
2003 Feb,9800214.61,9.80021461
2003 Mar,10816993.709999999,10.816993709999998
2003 Apr,10654222.559999999,10.65422256
2003 May,12512322.69,12.51232269
2003 Jun,12161209.69,12.16120969
2003 Jul,12998046.2,12.9980462
2003 Aug,12517275.68,12.51727568
2003 Sep,13268657.610000001,13.268657610000002
2003 Oct,14733621.69,14.73362169
2003 Nov,13669381.74,13.66938174
2003 Dec,16503965.61,16.503965609999998
2004 Jan,18003767.95,18.00376795
2004 Feb,11938029.87,11.93802987
2004 Mar,12997900.1,12.997900099999999
2004 Apr,12882645.07,12.88264507
2004 May,13943446.81,13.943446810000001
2004 Jun,13989472.2,13.9894722
2004 Jul,15339097.419999998,15.339097419999998
2004 Aug,15370763.94,15.37076394
2004 Sep,16142005,16.142005
2004 Oct,16685754,16.685754
2004 Nov,17636728,17.636728
2004 Dec,18869325,18.869325
2005 Jan,20778723,20.778723
2005 Feb,12154552,12.154552
2005 Mar,13402392,13.402392
2005 Apr,14459239,14.459239
2005 May,14795102,14.795102
2005 Jun,15705248,15.705248
2005 Jul,15829550,15.82955
2005 Aug,17554701,17.554701
2005 Sep,18100864,18.100864
2005 Oct,17496668,17.496668
2005 Nov,19347265,19.347265
2005 Dec,20031291,20.031291
2006 Jan,23486694,23.486694
2006 Feb,12536987,12.536987
2006 Mar,15467018,15.467018
2006 Apr,14233539,14.233539
2006 May,17783058,17.783058
2006 Jun,16291602,16.291602
2006 Jul,16980282,16.980282
2006 Aug,18612189,18.612189
2006 Sep,16623343,16.623343
2006 Oct,21430241,21.430241
2006 Nov,23575517,23.575517
2006 Dec,23334206,23.334206
2007 Jan,28038383,28.038383
2007 Feb,16763869,16.763869
2007 Mar,19792754,19.792754
2007 Apr,16427305,16.427305
2007 May,21000742,21.000742
2007 Jun,20681002,20.681002
2007 Jul,21834890,21.83489
2007 Aug,23930203.529999997,23.930203529999996
2007 Sep,22930356.939999998,22.93035694
2007 Oct,23263339.919999998,23.263339919999996
2007 Nov,25250030.22,25.25003022
2007 Dec,25806090,25.80609
2008 Jan,29665356,29.665356
2008 Feb,21654285,21.654285
2008 Mar,18264945,18.264945
2008 Apr,23107677,23.107677
2008 May,22912510,22.91251
2008 Jun,19431740,19.43174
